Meistars,Laiks,Pakalpojums,Vārds,Uzvārds,Telefons,e-pasts
03.02.22-8:00,Mirdza,Spēka masāža,Jānis,,22222222,janis@berzins.lv
03.02.22-8:00,Mirdza,Spēka masāža,Jānis,Bērziņš,22222222,janis@berzins.lv
11.02.22-14:00,Tālis,Medus masāža,Nauris,Bumba,23659874,bumbot@bumba.lv
11.02.22-14:00,Juris,Bērnu matu apgriešana,Laura,Zina,29863598,maija@pukite.lv
15.02.22-12:00,Maija,Sieviešu matu pieaudzēšana,Liene,Jansone,20000004,teatime@teatime.com
03.02.22-8:00,Mirdza,Spēka masāža,Jānis,Bērziņš,22222222,janis@berzins.lv
11.02.22-12:00,Tālis,Spēka masāža,Jānis,Bērziņš,22222222,janis@berzins.lv

26.02.22-8:00,Juris,Vīriešu matu noskūšana,Mairs Mairis,Lura,26262626,alaa@aa.lv
11.02.22-10:00,Mirdza,Spēka masāža,Alma,Piens,25458769,alma@piens.lt
